rating,key_theme_1,key_theme_2,key_theme_3,key_theme_4,key_theme_5,text,NPS
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,"If you can follow his classes you will remember them forever.Yes, he does diverge, but most of the important features of the discussion come through understanding these. One sided? His view IS the other side and he DOES explain both, not liberal, just practical.He does not force feed you things,and his views of the school ARE OBVIOUS OBERVATIONS",Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,"very interesting, very energetic.",Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,McSteamy,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,Dr. C is a great guy. He is totally approachable and helpful. And you can easily bullsh*t your way through his classes!,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,I was very turned off by this individual. Too bad he's very very opinionated and can't take a question for a question and not an attack on his views. I'm dedicated to trying to make it through my college career without having him as a teacher.,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,"Ah, the zoo trip, need I say more?",Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,Dr. C. seems to really love his teaching...took us to the zoo and showed us cool stuff with the bonobos..he was communicating with them! also showed us films and was generally easy to talk with out of class. I definitely would take a class with him again. The final exam was my favorite.,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,Loved it,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,Good,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,I was really looking forward to my first psych class and he completely turned me off. It was a horrible experience. He definitely played favorites. He constantly complained about the core and was probably just upset that psychology isn't part of it.,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,"Rants about the state of and dislike for the school frequently, which is a bummer. Often vague or one-sided in class lecture; I learned most because I had to learn independently in order to defend my positions against his in class. Learned a lot, got an A nonetheless.",Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,very enthusiastic; interesting lectures on the subject,Passives
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"I took this course in a freshman only class and he was trying to help us out but wasn't very successful. I definitely recommend the course mainly because of the second half of the semester project. The first half is all earth science and he tends to stop himself and restart a lot- he's kind of all over the place. Nice guy though, willing to help",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,I have never been more disappointed in my life. I have never met a more arrogant person in my life. I regret taking this class. This class and this professor are completely disjointed. To blatantly and constantly reject student opinion is NOT how you tech a class.,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"I have never known an educator more self-absorbed than Griffin. His classes, when not completely empty of substance, involve lectures pertaining to topics that only he would find relevant. No clarity in assignments or grading criteria. A discouraging presence in the classroom.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Quite possibly the worst class I've ever taken. His tests do not cover the material presented in lecture, he doesn't like athletes, and is unconcerned with 18 out of 21 people failing.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,Terrible professor. Expected students to know information for tests that he didn't even teach about it. Awful grading system. I will never take a class with this professor again and advise no one else to either.,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Hey was horrible, expected you to understand everything the first time he spoke of something. If you are struggling he makes things harder and expects more. If your an athlete DO NOT take this class.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Duane is a little quirky and kind of out there but overall a great professor. I took this class as a sophomore and expected to get my butt kicked. He's really helpful though and wants you to do well. He doesn't really give many grades and tests were very general. Field trips are interesting, definitely a lot of work but it could've been a lot worse",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Grades harshly and not clear on all assignments. He clearly is very intelligent and expects you to understand everything you say the first time through. The class could have been really interesting but he ruined it. Oh, and DO NOT tell him your an athlete, you're guaranteeing a low grade from the start.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,not clear at all about subject/grading,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"He is a really nice guy! If you try hard in his class and stay on top of the assignments he asks of you then you will seriously do well. Try to get on his good side, it pays off. He is a really smart guy and is very willing to help you out if you need. GO TO OFFICE HOURS! It makes him take you seriously and you learn a lot from his genius!",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Take advantage of extra credit opportunities and office hours. There is a lot of material, but the tests ask about broad trends and general connections, so just memorizing isn't that helpful. He is kind of a picky grader. Field trips are kind of random but fun, and he has a lot of jokes and interesting stories, so the class is laid back and fun",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"such a funny guy, love him. he is a genius and is a bit confusing when he talks about the subject matter. he is really into what he teaches. as long as you try hard in the class you will do well even if you do bad on exams. show effort that you care about the class and meet with him though if you dont understand.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"the whole time i thought i was going to fail and even considered withdrawing after basically failing all the impossible exams. However, he gives so many extra credit opportunities that only require your attendance and he makes group projects worth a TON so i actually ended up doing well in the class. His grades seem subjective. Just try hard.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"DO NOT TAKE HIM IF YOU CAN AVOID IT. I'm a deans list student, great GPA and took him and it dropped my average significantly. If you just need a lab credit do anything else to avoid this- I'm so mad the reviews didnt warn me enough. People are right he is quirky and sometimes nice but overall his tests are impossible and he is not helpful at all.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,great class. he never said hed curve the grades. high score earned in teh class sets the top of hte scale and its 10% down from that for each grade. totally fair but science majors set the top. i did ok xcept for the final. shouldve studied more cuz it killed me. learned a lot tho. makes you think.,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"Perhaps it's just the 231 class that is hard, because I don't know what everyone else is whining about. Duane is an absolute GENIUS when it comes to problem-solving and abstract thinking, and he looks at the subject matter in such an interesting, fresh way. He is a fair grader and it's not hard to do well if you study your book. And he's hilarious.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,great class if you love weather. great prof if you want to learn. don't take if you're looking for an easy lab credit. his class really should be 300 level because its a serious science class. weather is a lot of physics. small number of engineers/science majors set the high grades and the rest of us got screwed.,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,this is the worst teacher I've ever had in my entire life. he was useless- DO NOT TAKE! he told us not to worry about our grades however he screwed us all in the end and gave us lower grades than everyone expected...AVOID AT ALL COSTS FOR YOUR OWN GOOD!,Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"from what i gather classes before mine seemed to have taken advantage of duane, or at least he felt like they did. so then he made it too difficult...not worth the stress esp. if you reading humidity graphs and such is not going to be part of your life in the future. stay away.",Detractors
3.2,accessible outside class ,  tough grader ,  group projects ,NA,NA,"cool guy, but we were told he would scale grades at the end (esp considering most of the class was getting 60/70 averages on the tests) but he didnt curve in the end. interesting class, but in the end it ended up hurting my gpa and just causing more stress in my life, not worth it if you're simply searching for another lab science credit",Detractors
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Lian laoshi is an amazing professor! He will say whatever is on his mind, is very funny, and genuinely cares about the progress of his students. In class he explains things very well, and will take a concept slowly if you do not understand. In addition to class time, he is willing to meet outside of class if you need extra help. 10/10!",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"A GREAT professor, clear and helpful, and has endless comedic anecdotes. I loved the class, I wish I could take Chinese with him all four years!",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"A great man, very funny, but he does not care about political correctness, which makes for interesting classes. Will assume that all students of Asian descent are/speak Chinese. Very wise, knows EXTENSIVELY what he is talking about. Homework is intense, and necessary. Papers take a LONG time to do. Overall, a great professor.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"He is SOOOO funny!! and he knows what he is doing. With all the best jokes from Prof. Lian, you will find yourself loving this awesome class.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,He wasn't all that great but not terrible.,Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,Most amazing professor ever.,Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Don't take this class unless you are extremely interested in learning Chinese and have the time to devote to it. If you do, this class will be amazing and a lot of fun! Prof. Lian is SO funny and a great help! He will make the learning experience more interesting!",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,This man is amazing. Sheer wisdom. Love at first sight...that's all I have to say. I wish I could take Chinese for the rest of my life. Oh...and he tells the absolutely BEST jokes.,Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Prof Lian is amazing. He is incredibly funny and is so passionated about what he is teaching. Everybody knows this guy is good guy, but don't let this fool you when it comes to grades. He can be hard. Take a class with him if you are interested in learning something, because believe me, you will. Great class. I enjoyed it.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Good class, good prof. My only complaint is that if you don't give him EXACTLY what he said, in his own words, you don't get full credit for it. He also hasn't given anyone in this class more than a 9/10 on a paper yet.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"very good and amusing professor, his classes are always of a very relaxed nature, if you don't like his sense of humor the first day of class you'll probably hate the course",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Professor Lian is a treasure, a man of singular kindness and humor--not to mention staggering amounts of learning. I took his philosophical taoism class through a course-sharing program with Kenyon College, and even over a TV uplink he was fantastic. I would kill to protect this man.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,very fair and nice teacher.,Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"Prof. Lian is a fabulous teacher! He teachs and explains in a very clear and concise manner. He assigns just the right amount of homework and grades very fairly. Besides that, he has a great sense of humor and makes the process of learning very fun. Take a course with him! Lian Laoshi hen hao!",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,Awesome Professor. Very good at explaining difficult concepts. Take a class with him!!,Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"I love Prof. Lian. He's tons of fun to talk to in Mandarin, and willing to help you improve. He has a wonderful sense of humor, and is a wonderful language teacher.",Passives
4.3,accessible outside class ,  gives good feedback ,  inspirational ,NA,NA,"I've taken many classes with Lian Laoshi...Chinese and Taoism and I love him!!! He is one of the nicest prof. and the most fair: in grading, work load, etc. If I could take a class with him every semester, that would be awesome! ~Laura (ou luo lan)",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"Had Nancy for plant physiology around 1986 and still remember her class. What a great teacher. The reviews that say she plays favorites are absolute garbage. Warm, enthusiastic, friendly, supportive. Clear, understandable lectures. Hard exams. Excellent.",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"Lectures were horrible. Prefer reading the text than to keep up with her. She keeps us in class way over lecture time. C'mon, we have other classes to attend!! Not Very Good...",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"Agree with others. She favors some students over others. Her lectures are clear, but not exactly like the book. She goes into details with her experiences and knowledge. It is good sometimes, but bad when it's not relevant to exactly what to study for the exams. Overall, an average professor.",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"very clear lectures, you can tell professor enjoys teaching her subject and wants students to do well",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"condescending, willing to help at a certain point. Her lectures are very clear and straight forward that is about the only redeeming charactersisitcs, favors certain students over others",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,No Comments,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,No Comments,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"Has her favorites, her lectures are excellent, she can be a bit condescending",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"Going in for office hours is very helpful. She is a very friendly professor, and enthusiastic about biology. In depth analysis of the chemistry involved in biology. Occassional extra credit pop quizzes. Highly recommended.",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,nothing you cant handle,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"nan is a great lecturer. she really tries to get you to understand the material before she moves on. near the end of the semester though, it was a little rushed. she's enthusiastic. her exam questions are pretty easy if you understand and review the material. she really cares about her students.",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,One of the best professors I have ever had.I wish more professors can be like her.Her enthusiasm for the material and her desire to see her students succeed is evident to anyone who talks to her. In sum: A great professor; you are lucky if you take Bio 230 with her.,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,It's obvious she has a passion for the material--even if her students do not. She is a good lecturer and really takes an interest in seeing that her students do well--just as long as you make the effort to take advantage of her helpfulness.,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,Nan was one of the most helpful teachers I have ever had. She went out of her way to make sure I passed the class.,Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,"I had her as an undergrad and a grad student. She is very knowledgeable and very helpful. Haven't seen her for a few years, but she was sure nice on the eyes too!",Passives
4.1,accessible outside class ,  participation matters ,  respected ,NA,NA,No Comments,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"He makes some difficult concepts accessible, and you can definitely learn a lot from his lectures, which are engaging. However, he tends to take a very particular view of a lot of contractual issues and principles, and is quite hard on students if they don't get ""exactly"" the answer he is looking for--this makes exams more difficult to do well on.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Professor Pratt is the best professor that I have ever had at Queen's law. He cares deeply about his students and you can tell that enjoys teaching. He is friendly, hilarious, and makes even the dull aspects of contract law interesting. I wish I was able to take more classes with him as I know he has tremendously improved my legal reasoning.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Probably the best professor at Queen's Law. Friendly, engaging, and knows the material cold. His evaluations are challenging but fair. Plus, the dude is jacked. Highly recommended.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,He challenges his students and tries to get students to go beyond what was written in the case and think about the larger concepts surrounding contract law. Clearly explains complicated topics. Not an easy marker but not impossible.,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Pratt seems to really enjoy teaching and this is rare. His classes (this is the second I've taken with him) are challenging, but this is as it should be in law school. If you are looking for the easy B+ or A, don't take a class with him.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Advanced Contracts - Could have been good but Pratt mishandled the class organization and it was all over the place. i.e. reading requriements sent at 8 hours before class, unclear expectations, class was a philosophical cf, was not impressed.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,An excellent prof. always willing to go out of his way and assist students. Makes contract law interesting. More of a philosophical approach. Will definitely take future classes with him.,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,Professor Pratt is great. He's one of those teachers who you can just feel enjoy teaching. You never feel intimidated to ask a question and he never gives you attitude for asking questions in person as opposed to in front of the class.,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Michael Pratt is probably an ideal professor. He's clearly intelligent and engaged, and he makes a potentially boring subject (Contracts) interesting. Plus, he's warm and generous to his students. One of the best professors I've had in my many years of being a student.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,One of the best professors I've ever had - made the potentially boring subject matter interesting. I've never had a prof who cares so much about his students - I'm taking all of his classes in the future!,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Great professor, not the easiest grader - but definatley worth it - really cares about his students and puts in a great effort - highly recommend! - great man",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,No Comments,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,A superior professor.,Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,"Pratt should never, ever have become a professor.",Passives
4,accessible outside class ,  inspirational ,  tough grader ,  hilarious ,  skip class? you won't pass. ,No Comments,Passives
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"He makesaid class time highly amusing, and he is very knowledgeable in the subject area.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"Honestly, Professor Cawley is a really great professor. However, in SAGES the prompts for his papers can be a bit unclear and the grading criteria aren't exactly made clear.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"By far my favorite Case professor. Very prone to tangents relating concepts to real-life problems. When he first starts explaining a concept, it seems a little circuitous, but when he finishes his derivations it's crystal clear what he was going for. Absolutely brilliant, and always loves talking to students in his spare time.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"James is a really nice guy who really likes tables. That said he is a decent prof, class attendance definitely isn't mandatory, and he teaches almost straight from the book and is very clear about what will be on exams. He had some cute in class experiments too. All around definitely a good engr 225 prof.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"Cawley is a really good professor that knows the material inside and out. He is always available, and very understanding of students. The exams are not easy, but that doesnt mean it is impossible to get an A. Know concepts, not formulas, read the book, and pay attention to his in-class examples. Go talk to him too during office hours!",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"He definitely didn't have a clue about how to teach a SAGES seminar, even though you could tell he tried hard. He graded papers very oddly and seemed to be evaluating them as if they were scientific journal articles, which they certainly were not. He was a nice guy but many people in the class felt they came away shortchanged.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,Excellent advisor. Mediocre teacher.,Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"While this may have been one of the most boring and dry classes I've ever had, I did learn a lot from him. It's very concept-oriented, which I guess you either love or hate. And man, he loves those steam tables a little too much.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"He is alrite, but since I was not interested at all in the subject material I was generally bored. Tests have a lot of multiple choice questions and short answer questions, so it is not just solving problems.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,Extremely boring and dry. Period.,Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"Theres really nothing wrong with him. He does teach concepts, not plug-and-chug. You can get an A if you just know 2 of formulas covered going in to the exam. He has a lot of cool demonstrations and relates material to real life situations that he uses his free time researching for us.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"Focuses much more on knowledge of concepts then on formulas, which can be a refreshing change. Course feels more like an engineering course then most other ENGR courses. Can wander off topic in lectures though, and man does he Love those steam charts.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,No Comments,Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,Tests don't utilize formulas or reflect the homework at all.,Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"you actually have to know the subject to do well in this class, which frustrates most people. be prepared to LEARN about fluid flow, heat transfer, etc. and not just how to plug-n-chug",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"He may know the material but he is not very good at communicating it to the class. The lectures are unorganized, often off the subject. The tests are written on the fly, and often contain too many real-world examples that are impossible to solve.TAs great",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"Not bad, even though I did not like the course material.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,No Comments,Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,"I've actually logically proved his lectures to be a waste of my time, along with another student. TA's pretty helpful, tests follow homework and the book.",Detractors
3.3,accessible outside class ,  gives good feedback ,  get ready to read ,  hilarious ,  participation matters ,Marks too hard...no fair,Detractors
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Lee Grenci Taught me well. His classes were interesting, valuable for those who want to use the knowledge in their daily life. This information helped me during my career, with traveling, picking places to live, dealing with climate and understanding changes in climate and how the weather patterns affect us all. I am grateful to this man.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"This guy is impossible to understand online. He gives more info than what is needed. He could get to the point but dosn't. Don't take this class unless you want to work 10hrs a week on it. Every class i have taken is easier than this one, far easier.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Good guy but missing a few good teacher qualities. Great ways of explaining things, but thinking of a concept slightly differently will be ridiculed. He expects high levels of thinking even for basic ideas. His grading is overly particular and will nickel and dime you to a lower grade. Past his corny jokes, ego, and aformentioned points, he's ok",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Can not belive this course is a 100 level course. Lee is great, but the course is definately not 100 level material. I have sailed through some 400 level courses that didn't compare to the level of difficulty in this course. Avoid it if you can.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,Not too bad... Corny but funny.,Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,Class becomes impossible second half...To much for a Gen Ed. Should be called meteo 450...DONT TAKE METEO 101,Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"The material is hell to understand. The best advice if you want a good grade is do your best in the first half of the semester. The material the 2nd half is horrible. Also, the 4 project grades are a big part of your grade. Take your time and get all the points you can from these.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"This is the hardest class I have ever had. If you are planning on taking this as an online course, be ready to work 8 hours a week. Really tough course. Not suggested..",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Grenci was really enthusiastic about the course. However, i found the online course to be quite challenging for a gen-ed requirement. If you are willing to put in a few hours a week and give an honest attempt you can be successful in this class.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,Meteo 101 is hell.... Lee Grenci is the devil.... don't take this class,Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"This class was wicked hard and since it was a stupid online world campus class, we weren't allowed to meet with him to ask questions....this class blows",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Great teacher, keep up the good work Lee!",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,Tuff class alot of work...can reuse later in life.. if you put the work in the grade will show it...,Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Demands high quality work, knows his stuff, is passionate about teaching and wants his students to succeed. Has poor philosophical ideas and humor.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"Sure his jokes were tasteless at times, but I learned a lot.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,"I took Grenci's Meteo class and he was the best professor I've had. His class is fun, he makes it very easy to learn and his tests are cake if you go to his study session every week. As long as you show up and take notes, an ""A"" is in the bag.",Passives
3.5,accessible outside class ,  get ready to read ,  inspirational ,NA,NA,I have never encountered someone so high on himself. Don't take this class if you plan on having time to eat and go potty. He's just gonna give you what grade he feels like anyway. I regret the day I selected this class.,Passives
5,accessible outside class ,  gives good feedback ,  skip class? you won't pass. ,  respected ,  group projects ,"Jason is the best!!! Seriously, value every second you have with him. Hes wonderful.",Promoters
5,accessible outside class ,  gives good feedback ,  skip class? you won't pass. ,  respected ,  group projects ,I took Jason's EmAC class years ago. Jason maintains that perfect balance of friend and professor. He knows how to earn respect from his students as well as give respect to his students. I learned a ton from Jason and his class really broadened my horizons as an artist and did so in a very encouraging way. Jason is an absolute asset to MICA imo.,Promoters
5,accessible outside class ,  gives good feedback ,  skip class? you won't pass. ,  respected ,  group projects ,"Had him for eMac my freshman year of art college. Great teacher, super helpful and knowledgable of what he's teaching. Class has a lot of freedom, but also just enough structure. Great lecturer as well. Highly recommend Jason!",Promoters
5,accessible outside class ,  gives good feedback ,  skip class? you won't pass. ,  respected ,  group projects ,Prior to this class i didn't even know what the adobe cloud was. I was nervous that because Jason taught the advanced emac class I would really struggle. But we went through each program from the ground up and our projects were left relatively open. Jason is really helpful and willing to make time out of class to help as well.,Promoters
